Social2,null,resp_time,other_relaxing,other_working,relaxing,working
2.0,3.0,2013-04-01 21:56:31,,,,
3.0,4.0,2013-03-27 04:41:02,,,,
2.0,1.0,2013-03-29 21:33:42,,,,
3.0,1.0,2013-03-27 21:38:31,,,,
3.0,1.0,2013-03-29 06:17:12,,,,
3.0,3.0,2013-03-31 21:00:29,,,,
5.0,1.0,2013-04-03 17:26:15,,,,
,,2013-04-08 04:29:42,1.0,1.0,1.0,5.0
,,2013-04-11 18:56:04,1.0,1.0,1.0,4.0
,,2013-04-10 07:25:06,1.0,3.0,1.0,3.0
,,2013-04-13 22:23:12,1.0,1.0,1.0,5.0
,,2013-04-14 06:02:27,1.0,1.0,1.0,5.0
,,2013-04-15 06:11:54,1.0,1.0,1.0,5.0
