Social2,null,resp_time,other_relaxing,other_working,relaxing,working,location
1.0,1.0,2013-03-30 21:17:16,,,,,
2.0,1.0,2013-03-28 00:21:45,,,,,
2.0,1.0,2013-03-28 21:00:12,,,,,
2.0,1.0,2013-03-29 21:34:24,,,,,
2.0,1.0,2013-03-29 21:34:29,,,,,
2.0,1.0,2013-04-05 15:01:42,,,,,
2.0,1.0,2013-04-06 18:55:01,,,,,
,,2013-04-10 09:14:08,5.0,1.0,1.0,1.0,
,,2013-04-11 07:44:24,2.0,2.0,3.0,1.0,
,,2013-04-14 06:25:20,4.0,1.0,1.0,1.0,
,,2013-04-15 08:27:35,1.0,1.0,1.0,1.0,
,,2013-04-26 17:18:14,5.0,1.0,1.0,1.0,"43.70710735,-72.28905508333334"
,,2013-04-22 20:10:55,1.0,1.0,2.0,1.0,Unknown
,,2013-04-23 17:37:58,2.0,3.0,1.0,2.0,"43.70717328333333,-72.28886893333333"
