null,resp_time,anxious,calm,conventional,critical,dependable,disorganized,enthusiastic,experiences,reserved,sympathetic,location
4,2013-03-28 06:13:43,,,,,,,,,,,
3,2013-04-03 17:41:01,,,,,,,,,,,
5,2013-04-09 05:54:31,,,,,,,,,,,
5,2013-04-09 05:54:29,,,,,,,,,,,
3,2013-04-09 05:54:25,,,,,,,,,,,
1,2013-04-09 05:54:29,,,,,,,,,,,
,2013-04-09 22:26:25,1.0,1.0,1.0,1.0,5.0,3.0,4.0,5.0,5.0,5.0,
null,2013-04-18 21:00:54,5.0,2.0,1.0,4.0,3.0,1.0,5.0,4.0,5.0,2.0,
,2013-04-13 19:33:09,3.0,5.0,1.0,1.0,1.0,3.0,4.0,5.0,5.0,5.0,
,2013-04-16 23:46:44,5.0,5.0,1.0,1.0,5.0,3.0,3.0,5.0,5.0,5.0,
"43.70237732,-72.28914013",2013-04-19 02:33:16,3.0,5.0,1.0,1.0,5.0,3.0,5.0,5.0,3.0,5.0,
Unknown,2013-04-21 08:49:24,4.0,5.0,3.0,3.0,3.0,2.0,4.0,5.0,1.0,5.0,
Unknown,2013-04-20 19:42:54,1.0,3.0,1.0,1.0,3.0,4.0,4.0,5.0,5.0,5.0,
Unknown,2013-04-21 22:09:26,5.0,4.0,1.0,4.0,5.0,4.0,3.0,3.0,5.0,3.0,
,2013-04-26 16:04:01,1.0,5.0,1.0,1.0,1.0,1.0,5.0,3.0,5.0,3.0,"43.7060191,-72.28758328"
,2013-04-29 04:29:00,3.0,5.0,3.0,4.0,2.0,3.0,4.0,5.0,5.0,5.0,Unknown
,2013-05-11 08:13:24,5.0,1.0,1.0,5.0,3.0,4.0,3.0,5.0,5.0,5.0,Unknown
