null,resp_time,anxious,calm,conventional,critical,dependable,disorganized,enthusiastic,experiences,reserved,sympathetic
1.0,2013-04-01 00:21:57,,,,,,,,,,
1.0,2013-04-02 09:45:22,,,,,,,,,,
2.0,2013-04-01 09:04:41,,,,,,,,,,
1.0,2013-04-01 03:55:40,,,,,,,,,,
1.0,2013-04-01 05:05:52,,,,,,,,,,
1.0,2013-04-01 06:04:18,,,,,,,,,,
3.0,2013-04-01 20:19:33,,,,,,,,,,
5.0,2013-04-01 22:45:56,,,,,,,,,,
2.0,2013-04-02 04:04:06,,,,,,,,,,
3.0,2013-04-03 00:18:23,,,,,,,,,,
1.0,2013-04-07 21:00:58,,,,,,,,,,
,2013-04-08 21:20:23,2.0,4.0,2.0,3.0,4.0,1.0,4.0,4.0,3.0,2.0
,2013-04-16 22:44:18,2.0,3.0,3.0,1.0,2.0,2.0,3.0,2.0,2.0,3.0
