null,resp_time,course_id,due,experience,hours,location
1,2013-03-24 09:51:53,,,,,
1,2013-03-24 11:05:02,,,,,
1,2013-03-24 11:05:04,,,,,
"43.70443648,-72.28843785",2013-03-24 10:49:56,,,,,
"43.70443648,-72.28843785",2013-03-24 10:49:59,,,,,
"43.70443648,-72.28843785",2013-03-24 11:05:08,,,,,
ff,2013-03-24 10:49:55,,,,,
gg,2013-03-24 10:49:53,,,,,
1,2013-03-24 11:05:06,,,,,
,2013-04-02 12:10:04,cs165,1.0,2.0,2.0,"43.69958568,-72.28346581"
,2013-04-02 23:55:54,cs77,1.0,3.0,1.0,"43.64981203,-72.31113288"
,2013-04-03 22:15:14,cs165,2.0,2.0,1.0,"43.62834565,-72.3223213"
,2013-04-04 23:30:17,cs170,2.0,3.0,3.0,Unknown
,2013-04-05 22:36:05,cs165,2.0,3.0,1.0,"43.70551056,-72.28806837"
,2013-04-11 04:56:43,cs165,2.0,3.0,1.0,"43.70901904,-72.28357213"
,2013-04-13 00:12:34,cs65,2.0,3.0,1.0,"43.65866189,-72.24880912"
,2013-04-16 00:27:09,cs65,1.0,3.0,1.0,"43.65842615,-72.2485696"
,2013-04-18 19:44:24,cs65,2.0,1.0,1.0,"43.65853839,-72.24881437"
