course_id,due,experience,hours,location,resp_time
cs60,2,3,1,"43.70706817,-72.28796189",2013-04-03 23:26:28
CS60,2,1,2,"43.70683899,-72.28721495",2013-03-27 04:16:43
cs98,2,1,1,"43.7070583,-72.2885387",2013-03-29 00:20:17
cs65,2,3,1,"43.7069809,-72.28900187",2013-03-28 21:56:26
cs65,2,3,1,"43.70812165,-72.28465541",2013-03-29 19:02:56
cs60,2,2,4,"43.70742863,-72.28842649",2013-03-30 02:25:48
CS98,2,3,1,"43.70704637,-72.28857002",2013-03-31 00:00:41
cs65,1,3,1,"43.70118994,-72.28805231",2013-04-01 19:59:14
cs60,1,3,5,"43.70154725,-72.28809096",2013-04-02 01:36:10
cs65,2,4,8,"43.70706817,-72.28796189",2013-04-03 23:26:58
cs60,2,5,4,"43.70734316,-72.2891203",2013-04-04 23:11:59
cs65,2,4,2,"43.70719429,-72.28918535",2013-04-04 23:12:28
cs65,2,3,1,"43.07856719,-71.47247614",2013-04-05 22:49:39
cs65,2,4,2,"43.7072894,-72.28890368",2013-04-12 05:01:45
cs98,2,2,1,"43.70632138,-72.28691228",2013-04-10 02:27:17
cs60,2,4,4,"43.7073173,-72.28900394",2013-04-12 05:01:22
cs65,2,1,1,"43.70714806,-72.28900477",2013-04-13 00:49:21
cs65,1,3,12,"43.70672068,-72.28831457",2013-04-16 00:00:30
cs60,1,3,12,"43.7071586,-72.28859237",2013-04-16 00:00:48
cs98,2,3,1,"43.7072163,-72.28880304",2013-04-17 00:02:20
cs60,1,3,12,"43.70677226,-72.28679047",2013-04-18 00:04:42
cs65,2,3,2,"43.7070897,-72.28858401",2013-04-20 01:11:20
cs60,2,3,2,"43.7070897,-72.28858401",2013-04-20 01:09:08
cs60,1,3,1,"43.70287358,-72.29079706",2013-04-30 04:05:51
cs65,2,3,11,"43.70287312,-72.29079676",2013-04-30 04:05:23
