exercise,have,resp_time,schedule,walk,location
1,2,2013-04-03 02:08:47,2,1,
1,2,2013-04-02 04:04:53,2,2,
1,2,2013-04-04 05:48:17,2,3,
1,2,2013-04-05 02:23:53,2,2,
1,2,2013-04-08 00:00:10,2,1,
1,2,2013-04-06 01:46:41,2,3,
1,2,2013-04-07 00:00:38,1,2,
1,2,2013-04-09 06:06:18,2,3,
1,2,2013-04-10 05:07:08,1,2,
1,2,2013-04-18 05:50:24,2,3,
1,2,2013-04-12 05:51:46,2,3,
1,2,2013-04-11 05:59:48,2,3,
1,2,2013-04-15 12:51:44,2,1,
1,2,2013-04-13 03:48:08,2,3,
1,2,2013-04-14 04:31:42,2,1,
1,2,2013-04-17 02:00:07,2,1,
1,2,2013-04-16 11:52:14,1,3,
1,2,2013-04-19 04:50:44,2,3,"43.70746347,-72.28509434"
1,2,2013-04-20 09:43:27,1,3,"43.70375648,-72.29575915"
1,2,2013-04-21 02:40:51,2,1,"43.70378828,-72.29600636"
1,2,2013-04-22 04:00:29,1,3,"43.70364552,-72.29593922"
1,2,2013-04-24 10:05:05,1,3,"43.70371045,-72.29605661"
1,2,2013-04-27 00:12:28,1,4,"43.70094652,-72.28957887"
1,2,2013-04-30 02:21:19,2,2,"43.70489887,-72.29225887"
2,1,2013-05-08 00:21:35,null,3,"43.70358127,-72.29612226"
1,2,2013-05-04 06:21:11,2,2,"43.70583433,-72.28880318"
1,2,2013-05-07 01:01:52,1,3,"43.70353749,-72.29596044"
1,2,2013-05-07 00:21:44,1,3,"43.70353749,-72.29596044"
1,2,2013-05-15 03:59:22,1,1,"43.70368448,-72.29611307"
1,2,2013-05-05 04:00:25,2,2,"43.70583433,-72.28880318"
5,1,2013-05-13 22:28:09,2,5,"43.70416591,-72.29582511"
1,2,2013-05-18 22:12:25,2,2,"43.70340016,-72.29598785"
1,2,2013-05-30 02:22:36,2,3,Unknown
1,2,2013-05-31 20:56:28,2,1,"43.70369562,-72.29580718"
