duration,enjoy,location,resp_time
8,2,"43.75903406,-72.32903539",2013-04-24 19:14:12
6,2,"43.71722994,-72.30901577",2013-04-23 18:00:22
8,4,"43.75923516,-72.32852538",2013-04-30 19:07:38
6,2,"43.70587062,-72.28704848",2013-05-13 22:59:19
1,1,"43.75918571,-72.3290479",2013-05-14 22:37:19
6,3,Unknown,2013-05-03 23:43:39
5,3,"43.70511209,-72.28803398",2013-05-10 21:09:31
6,3,"43.70617628,-72.28851928",2013-05-09 22:31:09
11,5,"43.75931316,-72.32897269",2013-05-12 21:18:26
8,2,"43.38718042,-71.97095538",2013-05-18 21:04:50
1,4,"43.7030517,-72.28273911",2013-05-24 01:43:54
