qr_code,resp_time
82,2013-03-27 05:22:49
17,2013-03-27 18:02:19
31,2013-03-29 18:00:37
32,2013-04-01 17:57:24
33,2013-04-03 17:54:30
65,2013-04-04 20:06:14
39,2013-04-08 17:58:16
41,2013-04-05 18:03:11
39,2013-04-10 17:58:35
38,2013-04-11 19:56:12
41,2013-04-12 17:58:06
26,2013-04-15 17:59:04
38,2013-04-17 18:00:24
41,2013-04-18 20:10:10
25,2013-04-19 17:57:48
25,2013-04-22 18:00:52
12,2013-04-25 20:25:37
23,2013-04-26 18:04:45
24,2013-04-29 18:03:52
24,2013-05-01 18:00:43
40,2013-05-02 20:00:23
25,2013-05-03 18:01:35
25,2013-05-06 18:03:35
13,2013-05-10 18:00:32
22,2013-05-08 18:00:30
