hour,location,rate,resp_time,social,null
7.0,"43.70425434,-72.29121363",3.0,2013-04-01 17:40:41,2.0,
,,,2013-03-24 10:38:41,,7
,,,2013-03-24 10:38:46,,6
,,,2013-03-24 10:39:28,,"43.70644277,-72.28745909"
,,,2013-03-24 10:38:43,,3
,,,2013-03-24 10:38:45,,7
,,,2013-03-24 10:39:25,,3
6.0,"43.70605071,-72.28863023",2.0,2013-03-27 20:55:06,2.0,
7.0,"43.70704086,-72.28731294",2.0,2013-03-28 17:48:59,3.0,
7.0,"43.70465195,-72.29099209",3.0,2013-03-29 17:15:24,1.0,
7.0,"43.70406856,-72.29058126",2.0,2013-03-30 20:39:57,2.0,
6.0,"43.70470793,-72.29118335",3.0,2013-03-31 18:42:56,1.0,
6.0,"43.70629105,-72.28869027",3.0,2013-04-03 17:41:03,3.0,
6.0,"43.70467368,-72.29087023",2.0,2013-04-09 05:54:33,1.0,
6.0,"43.7046699,-72.29098352",2.0,2013-04-09 05:54:31,2.0,
6.0,"43.70512967,-72.28920458",2.0,2013-04-09 05:54:27,1.0,
0.0,"43.70426189,-72.29088555",4.0,2013-04-09 05:54:23,2.0,
4.0,"43.70533787,-72.28805256",3.0,2013-04-09 05:54:24,2.0,
5.0,"43.70629105,-72.28869027",2.0,2013-04-09 05:54:20,2.0,
3.0,"43.70434729,-72.29081836",2.0,2013-04-12 18:02:01,3.0,
5.0,"43.70556943,-72.28809499",3.0,2013-04-10 17:57:20,3.0,
4.0,"43.70380893,-72.28772947",2.0,2013-04-11 17:46:10,3.0,
8.0,"43.70459704,-72.29138802",1.0,2013-04-13 19:32:24,3.0,
4.0,Unknown,3.0,2013-04-15 17:11:32,2.0,
4.0,"43.70495522,-72.29090614",3.0,2013-04-16 17:09:21,3.0,
5.0,"43.70495522,-72.29090614",3.0,2013-04-16 23:51:31,3.0,
5.0,"43.70495522,-72.29090614",3.0,2013-04-17 17:58:45,2.0,
5.0,"43.70460031,-72.29111515",3.0,2013-04-18 17:47:12,1.0,
5.0,"43.70237732,-72.28914013",4.0,2013-04-19 02:36:34,2.0,
4.0,"43.70477525,-72.2912571",3.0,2013-04-19 17:57:23,1.0,
8.0,Unknown,3.0,2013-04-20 19:46:53,2.0,
6.0,Unknown,2.0,2013-04-21 22:10:22,2.0,
4.0,"43.7060191,-72.28758328",2.0,2013-04-26 17:09:03,2.0,
5.0,"43.70366438,-72.2901632",3.0,2013-04-28 00:23:44,2.0,
4.0,Unknown,2.0,2013-04-29 04:33:54,3.0,
5.0,"43.7046102,-72.29099328",2.0,2013-05-01 17:42:44,3.0,
5.0,"43.70405489,-72.28757532",3.0,2013-05-03 17:56:15,2.0,
4.0,"43.70418222,-72.29064333",2.0,2013-05-07 17:57:17,2.0,
1.0,"43.70632774,-72.28670996",3.0,2013-05-08 17:46:25,3.0,
9.0,"43.70419436,-72.29111957",2.0,2013-05-17 09:52:56,3.0,
1.0,"43.70673393,-72.28776049",3.0,2013-05-15 01:49:46,4.0,
1.0,"43.704622379999996,-72.29115798",4.0,2013-05-15 18:56:29,4.0,
3.0,"43.70440021,-72.29112204",4.0,2013-05-13 17:54:41,3.0,
3.0,"43.70551279,-72.29153409",3.0,2013-05-18 19:25:25,3.0,
2.0,"43.70551279,-72.29153409",4.0,2013-05-20 18:45:58,4.0,
10.0,"43.70583041,-72.28925846",2.0,2013-06-01 15:38:19,4.0,
