null,resp_time,hour,location,rate,social
Unknown,2013-03-24 10:29:47,,,,
1,2013-03-24 09:53:29,,,,
1,2013-03-24 10:43:50,,,,
1,2013-03-24 10:17:34,,,,
8,2013-03-24 10:05:20,,,,
,2013-04-01 06:22:50,7.0,"43.01169329,-71.43624899",1.0,4.0
,2013-03-27 23:51:35,7.0,"43.70811876,-72.28377339",2.0,2.0
,2013-03-28 19:58:22,8.0,"43.70763263,-72.28367016",2.0,1.0
,2013-03-29 17:00:37,6.0,"43.7055685,-72.28308516",2.0,2.0
,2013-03-30 21:19:50,7.0,"43.70607996,-72.28326095",2.0,2.0
,2013-04-01 17:00:45,6.0,"43.70551291,-72.2829453",3.0,4.0
,2013-04-02 19:20:18,6.0,Unknown,3.0,3.0
,2013-04-03 17:00:40,6.0,"43.70550108,-72.28299966",2.0,2.0
,2013-04-04 20:09:35,8.0,"43.70570298,-72.28380439",1.0,2.0
,2013-04-07 18:43:07,7.0,"43.70562814,-72.28314742",2.0,2.0
,2013-04-05 18:05:07,5.0,"43.70652295,-72.28353758",3.0,2.0
,2013-04-08 17:21:38,5.0,"43.70559102,-72.283134",3.0,1.0
,2013-04-13 22:54:41,7.0,"43.70601049,-72.28324145",2.0,3.0
,2013-04-10 05:42:09,7.0,"43.70654535,-72.28726046",2.0,1.0
,2013-04-11 12:26:44,6.0,"43.70574233,-72.28292602",3.0,2.0
,2013-04-11 18:27:37,5.0,"43.70566,-72.28310143",3.0,2.0
,2013-04-12 17:50:09,0.0,"43.70553885,-72.28310724",4.0,1.0
,2013-04-19 02:03:54,6.0,"43.7078922,-72.2846612",3.0,1.0
,2013-04-24 21:35:17,7.0,"43.70574235,-72.28345072",2.0,2.0
,2013-04-29 17:00:37,1.0,"43.70548373,-72.28317973",4.0,2.0
,2013-04-25 17:00:37,6.0,"43.7054985,-72.28342604",3.0,3.0
,2013-04-26 17:01:02,6.0,"43.70551487,-72.28310072",3.0,3.0
,2013-05-03 18:15:25,6.0,"43.70534469,-72.28302556",3.0,3.0
,2013-05-14 19:46:50,11.0,"43.70627213,-72.28360055",4.0,4.0
,2013-05-06 18:04:50,5.0,"43.70561941,-72.28349203",3.0,1.0
,2013-05-10 19:33:37,5.0,"43.70543702,-72.28333228",3.0,1.0
,2013-05-13 17:37:56,19.0,"43.70524461,-72.28176559",4.0,3.0
,2013-05-15 18:03:31,15.0,"43.70356722,-72.28685775",4.0,4.0
,2013-05-17 18:00:17,7.0,"43.70547682,-72.28319797",2.0,3.0
,2013-05-20 17:31:10,1.0,"43.70530656,-72.28304653",4.0,1.0
,2013-05-27 18:30:47,7.0,"43.70549434,-72.28301503",2.0,1.0
