hour,location,rate,resp_time,social
5,"43.70716466,-72.28877446",2,2013-03-30 18:02:23,1
9,"43.70283143,-72.28972714",1,2013-03-27 18:01:23,1
7,"43.70695709,-72.2889774",2,2013-03-28 18:00:16,1
9,"43.70719154,-72.28893742",2,2013-03-29 17:13:22,1
7,"43.70699391,-72.28861928",2,2013-03-31 17:06:09,1
7,"43.7070462,-72.28848992",1,2013-04-02 17:17:31,1
8,"43.70703349,-72.28843848",1,2013-04-01 17:00:27,1
7,"43.70726477,-72.28852991",2,2013-04-03 17:01:39,1
7,"43.7070314,-72.28839927",1,2013-04-04 17:44:48,1
7,"43.70707371,-72.28883426",2,2013-04-05 17:00:29,1
5,Unknown,3,2013-04-07 00:08:42,1
7,Unknown,3,2013-04-08 00:03:49,2
5,"42.23578722,-83.33754082",3,2013-04-08 17:25:53,1
9,"43.70719012,-72.2888733",1,2013-04-09 18:21:53,2
8,"43.70725349,-72.28839747",1,2013-04-10 17:17:18,1
8,"43.70712725,-72.28845074",2,2013-04-11 17:13:06,1
9,"43.70706396,-72.28897457",2,2013-04-13 06:04:12,1
7,"43.70705136,-72.28843485",2,2013-04-13 17:20:22,1
9,"43.70716593,-72.28890086",2,2013-04-14 17:00:31,1
8,"43.70723585,-72.28841302",3,2013-04-15 17:26:23,1
8,"43.70717627,-72.28852962",2,2013-04-16 18:21:40,1
6,"43.70729692,-72.2885815",4,2013-04-17 19:27:51,1
10,"43.70692919,-72.28846759",1,2013-04-18 17:31:11,1
5,"43.81122389,-72.15728455",2,2013-04-20 18:49:06,1
5,"43.70716806,-72.28866449",2,2013-04-21 17:27:21,1
8,"43.70701255,-72.28865971",1,2013-04-23 19:05:01,1
8,"43.70721595,-72.28866405",2,2013-04-22 17:26:17,1
5,"43.70712999,-72.28865702",1,2013-04-24 17:38:25,1
6,"43.70488035,-72.29116269",2,2013-04-27 20:12:00,1
6,"43.70713458,-72.2881041",2,2013-04-29 23:32:50,1
5,"43.70722552,-72.28844694",3,2013-04-30 17:26:21,2
6,"43.70710859,-72.2886006",3,2013-05-01 17:33:09,1
8,"43.70711822,-72.28858793",2,2013-05-02 17:38:28,1
6,"43.70709725,-72.28867937",2,2013-05-05 17:49:26,1
10,"43.70711182,-72.28819371",2,2013-05-14 17:34:49,1
10,"43.70706783,-72.2885488",1,2013-05-09 17:33:29,1
12,"43.70473921,-72.28950019",1,2013-05-13 17:32:12,1
9,"43.7071288,-72.28941802",2,2013-05-15 17:56:10,1
7,"43.70689213,-72.28923384",2,2013-05-07 17:31:42,1
10,"43.70701678,-72.2889594",1,2013-05-06 18:04:47,1
11,"43.7070207,-72.28830805",2,2013-05-10 17:31:27,1
8,"43.70699407,-72.28841365",2,2013-05-08 17:32:05,1
6,"43.70705911,-72.28865321",2,2013-05-04 19:12:53,1
9,"43.70708212,-72.28839628",2,2013-05-12 18:01:06,1
11,"43.70696151,-72.28906057",1,2013-05-16 18:34:38,1
9,"43.70673718,-72.28846184",2,2013-05-19 18:19:58,1
12,"43.70719384,-72.28862744",3,2013-05-17 17:43:11,1
5,"43.70703477,-72.28857214",3,2013-05-18 19:40:42,1
9,"43.70304196,-72.28932574",3,2013-05-20 17:46:54,1
9,"43.70668699,-72.28726705",2,2013-05-21 17:38:04,1
9,"43.70721163,-72.28886462",2,2013-05-22 17:32:56,1
10,"43.707001,-72.28873383",2,2013-05-23 17:31:22,1
7,"43.70696068,-72.28886495",2,2013-05-24 17:31:33,1
1,"43.7066534,-72.28722533",1,2013-05-31 17:28:50,1
5,"43.70722646,-72.28884523",2,2013-05-25 17:19:23,1
3,"43.70636826,-72.286902",2,2013-05-26 17:04:25,1
3,"43.70708929,-72.28882886",4,2013-05-28 17:04:38,1
7,"43.70710587,-72.28884407",2,2013-06-03 18:16:28,1
6,"43.70713643,-72.28841499",2,2013-06-04 18:56:03,1
2,"43.70712821,-72.2934383",1,2013-06-01 19:09:42,1
17,"43.70723573,-72.28867028",1,2013-06-02 18:52:59,1
