location,number,resp_time,null
"43.70326445,-72.28627025",3.0,2013-04-01 16:50:21,
,,2013-03-24 09:48:12,1
,,2013-03-24 11:04:24,"43.70624514,-72.28708367"
"43.70350954,-72.28608081",2.0,2013-03-30 20:38:29,
,,2013-03-24 11:04:25,"43.70624514,-72.28708367"
,,2013-03-24 11:04:29,"43.70624514,-72.28708367"
,,2013-03-24 11:04:27,4
Unknown,3.0,2013-03-27 02:04:00,
Unknown,2.0,2013-03-27 03:15:53,
"43.70227295,-72.28989198",2.0,2013-03-27 21:08:55,
"43.70528743,-72.29155419",2.0,2013-03-28 19:39:30,
"43.70350954,-72.28608081",2.0,2013-03-29 17:42:49,
"43.70582719,-72.28937924",2.0,2013-03-29 08:13:02,
"43.70350954,-72.28608081",2.0,2013-03-30 06:12:13,
"43.70350954,-72.28608081",2.0,2013-03-31 06:00:53,
"43.70712705,-72.28700077",2.0,2013-04-01 06:26:21,
"43.70237031,-72.28787598",3.0,2013-04-03 02:31:40,
"43.70237031,-72.28787598",3.0,2013-04-03 17:37:28,
"43.7052264,-72.28719803",3.0,2013-04-04 04:46:52,
"43.70301411,-72.28619057",2.0,2013-04-04 19:44:52,
"43.70342734,-72.28638739",3.0,2013-04-05 18:16:17,
"43.70410077,-72.28719868",3.0,2013-04-06 01:32:23,
"43.04882397,-71.72452648",3.0,2013-04-07 01:27:37,
"43.70278047,-72.28749202",4.0,2013-04-08 02:55:22,
"43.70370174,-72.28680811",3.0,2013-04-10 20:40:56,
"43.70731779,-72.2868045",3.0,2013-04-10 10:34:13,
"43.70314121,-72.28659035",3.0,2013-04-12 06:25:18,
"43.70385469,-72.28643647",3.0,2013-04-13 01:57:03,
"43.70360138,-72.28652466",3.0,2013-04-14 05:38:57,
"43.70343873,-72.28651243",3.0,2013-04-15 04:07:32,
"43.70396504,-72.28927469",3.0,2013-04-16 04:12:28,
"43.70430223,-72.29046297",3.0,2013-04-18 20:34:08,
"43.70430223,-72.29046297",3.0,2013-04-18 06:04:35,
"43.70518194,-72.28800233",4.0,2013-04-20 20:21:02,
"43.70406215,-72.28755806",3.0,2013-04-21 20:21:34,
"43.70440204,-72.29052256",3.0,2013-04-25 00:57:16,
"43.70434734,-72.28679491",3.0,2013-04-23 23:01:53,
"43.7052687,-72.28811786",2.0,2013-04-23 06:30:44,
"43.70369581,-72.28686269",3.0,2013-04-25 21:55:55,
"43.70295661,-72.28995533",3.0,2013-04-27 00:31:18,
"43.70708811,-72.28767562",3.0,2013-05-01 09:16:53,
"43.70502255,-72.28804551",3.0,2013-05-03 07:00:16,
"43.7037094,-72.28660102",3.0,2013-05-05 09:19:42,
"43.7049437,-72.28880281",3.0,2013-05-07 03:53:33,
"43.70454326,-72.2895076",3.0,2013-05-09 21:59:05,
"43.70343934,-72.28739154",4.0,2013-05-12 06:05:56,
"43.70447785,-72.29155849",3.0,2013-05-23 13:39:28,
Unknown,1.0,2013-05-28 02:08:39,
