null,resp_time,location,number
"43.70628014,-72.287048",2013-03-24 09:52:29,,
1,2013-03-24 10:50:33,,
6,2013-03-24 10:50:34,,
1,2013-03-24 10:50:39,,
"43.70508056,-72.28851205",2013-03-24 10:50:36,,
"43.70508056,-72.28851205",2013-03-24 10:50:37,,
,2013-04-08 22:41:34,"43.01433773,-72.34858847",2.0
,2013-04-10 18:48:54,"43.7167643,-72.3092846",3.0
,2013-04-13 21:13:17,"43.01440941,-72.34824962",2.0
,2013-04-14 21:48:57,"43.71634031,-72.30888868",2.0
,2013-04-16 07:05:07,"43.71671598,-72.3090822",2.0
,2013-04-18 07:40:23,"43.71646992,-72.30896549",2.0
,2013-05-03 17:08:24,"43.71663661,-72.30912731",3.0
,2013-05-09 17:19:19,"43.71641225,-72.30929063",4.0
,2013-05-14 08:23:47,"43.7165207,-72.30909122",3.0
,2013-05-13 08:19:53,"43.71665523,-72.30904318",2.0
,2013-05-20 00:10:03,Unknown,4.0
,2013-06-04 02:12:42,"43.71654905,-72.30960914",1.0
