location,number,resp_time
"43.7025121,-72.28898705",4,2013-04-01 07:45:06
"43.70600279420614,-72.28865772485733",4,2013-03-27 03:45:43
"43.702606027945876,-72.2895226534456",5,2013-03-29 00:39:20
"43.70436740107834,-72.28962558321655",4,2013-03-27 16:17:34
"43.702606027945876,-72.2895226534456",5,2013-03-28 16:34:47
"43.702606027945876,-72.2895226534456",4,2013-03-29 07:25:21
"43.702606027945876,-72.2895226534456",4,2013-03-29 19:40:14
"43.70295231,-72.29014782",4,2013-03-31 09:37:43
"43.704395,-72.28801132",4,2013-04-01 17:53:06
"43.70673427,-72.28779417",5,2013-03-30 23:38:57
"43.70295231,-72.29014782",5,2013-03-31 07:27:47
"43.705576616339386,-72.29041096754372",4,2013-03-30 06:03:54
"43.70563006,-72.29085119",4,2013-03-31 21:46:16
"43.7025121,-72.28898705",4,2013-04-01 15:14:02
"43.7052441,-72.29056065",4,2013-04-03 05:58:19
"43.70566922,-72.29087336",4,2013-04-02 16:49:40
"43.70763698,-72.2908901",4,2013-04-03 04:01:32
"43.70385188,-72.28719243",5,2013-04-04 16:56:59
"43.70492743,-72.2901242",5,2013-04-04 04:09:55
"43.7060222402215,-72.29019781574607",4,2013-04-08 06:00:40
"43.70497429277748,-72.29044700972736",5,2013-04-05 04:01:53
"43.705932260490954,-72.28973739780486",5,2013-04-05 00:44:22
"43.70590191800147,-72.28983261622488",5,2013-04-05 02:04:37
"43.705437518656254,-72.29089770466089",4,2013-04-05 16:00:47
"43.70539468713105,-72.29043569415808",4,2013-04-05 23:43:43
"43.70573427993804,-72.2908112872392",5,2013-04-07 00:17:45
Unknown,4,2013-04-07 12:44:14
"43.703158563002944,-72.29066770523787",4,2013-04-07 06:02:13
"43.703208435326815,-72.29068145155907",4,2013-04-08 04:01:51
"43.705809926614165,-72.29142350144684",4,2013-04-09 08:09:30
"43.70289050973952,-72.2909696213901",4,2013-04-16 06:00:14
"43.702894197776914,-72.29080315679312",4,2013-04-10 20:01:29
Unknown,4,2013-04-10 02:56:08
"43.70563139207661,-72.29079762473702",4,2013-04-17 06:03:16
"43.701694663614035,-72.2882104665041",4,2013-04-11 20:02:47
"43.70402202475816,-72.28741058148444",4,2013-04-12 20:06:38
Unknown,5,2013-04-13 20:25:57
"43.70522507932037,-72.29081598110497",4,2013-04-13 01:05:20
"43.70568109676242,-72.29072663001716",5,2013-04-14 00:09:24
"43.70137925259769,-72.28947512805462",4,2013-04-14 20:05:54
"43.70137925259769,-72.28947512805462",4,2013-04-14 20:05:55
Unknown,4,2013-04-16 00:18:26
Unknown,4,2013-04-18 06:00:31
Unknown,5,2013-04-19 06:00:19
"43.70550541207194,-72.2784256003797",4,2013-04-21 09:45:53
"43.70345394127071,-72.29087851010263",4,2013-04-22 06:00:49
Unknown,4,2013-04-23 06:03:21
"43.705973415635526,-72.28723850101233",4,2013-04-22 17:57:41
Unknown,4,2013-04-24 20:47:05
"43.704226040281355,-72.29057994671166",5,2013-04-28 06:14:34
"43.7066536070779,-72.28823712095618",4,2013-04-25 19:40:26
Unknown,5,2013-04-27 22:08:21
"43.70579710230231,-72.29083056561649",5,2013-04-30 19:03:54
"43.705516937188804,-72.29096400551498",4,2013-04-28 21:11:39
"43.706689733080566,-72.28658253327012",5,2013-04-29 08:15:21
"43.70427260175347,-72.28899610228837",5,2013-04-29 15:59:03
"43.70563415810466,-72.2912774886936",5,2013-05-02 16:03:26
"43.705528462305665,-72.29130095802248",4,2013-05-03 15:42:03
"43.70553600601852,-72.29107699356973",5,2013-05-16 15:43:28
"43.70178573299199,-72.28840081952512",4,2013-05-05 06:20:05
"29.90313538815826,-90.02738610841334",3,2013-05-13 07:26:43
Unknown,4,2013-05-08 17:37:30
"43.705429220572114,-72.29127271100879",4,2013-05-07 16:57:42
Unknown,4,2013-05-10 08:01:24
"33.64079515915364,-84.43565824069083",4,2013-05-11 17:35:19
"43.70494906324893,-72.29194141924381",5,2013-05-18 21:06:42
"43.705568527802825,-72.29081480763853",5,2013-05-19 19:34:38
Unknown,4,2013-05-21 18:56:15
"43.705720701254904,-72.29104246012866",4,2013-05-22 18:58:38
"43.705530599690974,-72.29089292697608",5,2013-05-30 16:12:28
Unknown,4,2013-05-25 20:38:16
Unknown,4,2013-05-29 20:08:25
"43.70550733990967,-72.2909749019891",4,2013-05-27 19:09:20
Unknown,4,2013-05-29 02:00:36
"43.705819859169424,-72.29087230749428",4,2013-05-26 19:17:44
"29.902892354875803,-90.02732827328146",3,2013-06-06 00:05:53
"29.900103276595473,-90.0295245833695",4,2013-06-02 06:00:24
"29.902872280217707,-90.02744721248746",3,2013-06-04 23:18:09
"29.899868331849575,-90.02978006377816",3,2013-06-07 23:46:31
