level,location,resp_time,null
4.0,"43.7034298,-72.2850223",2013-03-31 12:10:08,
4.0,"43.70393655,-72.28393844",2013-04-03 06:38:59,
,,2013-03-24 09:56:49,1
,,2013-03-24 10:48:03,2
,,2013-03-24 10:48:09,"43.70619188,-72.28794934"
,,2013-03-24 10:48:05,"43.70478782,-72.28883583"
,,2013-03-24 10:48:07,3
,,2013-03-24 10:48:05,3
4.0,"43.7038505,-72.28368719",2013-03-30 10:01:36,
5.0,"43.70297942,-72.28462672",2013-03-31 02:07:52,
2.0,"43.70675332,-72.2868274",2013-03-27 03:43:32,
4.0,"43.70255001,-72.28685512",2013-03-29 00:31:11,
4.0,"43.70287825,-72.28818009",2013-03-27 08:16:30,
4.0,"43.7040066,-72.28391899",2013-03-27 22:13:48,
1.0,"43.7040066,-72.28391899",2013-03-27 20:39:30,
1.0,"43.70377905,-72.28420015",2013-03-27 09:17:42,
1.0,"43.7040066,-72.28391899",2013-03-27 17:18:05,
1.0,"43.70327981,-72.28393317",2013-03-28 08:36:03,
1.0,"43.70381904,-72.28413912",2013-03-28 18:04:50,
4.0,"43.70327981,-72.28393317",2013-03-28 04:11:35,
4.0,"43.70321138,-72.29012708",2013-03-29 05:59:23,
1.0,"43.70257385,-72.28793151",2013-03-29 02:20:05,
4.0,"43.70200398,-72.28793859",2013-03-28 23:37:13,
4.0,"43.70321138,-72.29012708",2013-03-29 04:27:18,
1.0,"43.705217,-72.28640721",2013-03-28 23:29:33,
1.0,"43.70321138,-72.29012708",2013-03-29 03:17:14,
1.0,"43.705217,-72.28640721",2013-03-28 23:29:05,
1.0,"43.70392608,-72.28391071",2013-03-29 17:05:55,
4.0,"43.70880096,-72.28424497",2013-03-29 20:02:38,
4.0,"43.70166036,-72.28814555",2013-03-29 22:25:52,
5.0,"43.70393335,-72.2837312",2013-04-01 06:58:21,
5.0,"43.70166036,-72.28814555",2013-03-30 03:36:08,
4.0,"43.70358547,-72.28382208",2013-03-31 07:08:35,
1.0,"43.70151102,-72.28661176",2013-03-31 09:55:20,
5.0,"43.70386706,-72.28368428",2013-03-31 02:07:50,
4.0,"43.70384974,-72.28380085",2013-03-31 21:37:24,
4.0,"43.70384974,-72.28380085",2013-03-31 22:50:02,
4.0,"43.70393335,-72.2837312",2013-04-01 04:51:17,
4.0,"43.70391766,-72.28483911",2013-04-03 10:12:46,
4.0,"43.70302005,-72.28456593",2013-04-04 01:52:26,
4.0,"43.70391766,-72.28483911",2013-04-03 17:57:15,
4.0,"43.7035913,-72.28369892",2013-04-04 13:18:25,
5.0,"43.70406445,-72.28387812",2013-04-05 08:22:12,
4.0,"42.68180911,-84.64766693",2013-04-08 22:50:28,
4.0,"43.70416133,-72.28362449",2013-04-11 09:32:21,
1.0,"43.70829698,-72.28430122",2013-04-12 02:44:01,
1.0,"43.70404614,-72.28405349",2013-04-11 19:10:01,
4.0,"43.70829698,-72.28430122",2013-04-11 20:04:43,
4.0,"43.70249992,-72.28863527",2013-04-12 22:11:31,
4.0,"43.70380132,-72.28395937",2013-04-17 03:38:42,
4.0,"43.70380812,-72.28401109",2013-04-13 22:23:40,
2.0,"43.70375535,-72.28381706",2013-04-15 20:00:40,
1.0,"43.70846713,-72.28425547",2013-04-16 04:00:13,
4.0,"43.70440959,-72.28378547",2013-04-17 08:10:25,
4.0,"43.70643727,-72.28702697",2013-04-18 10:44:37,
4.0,"43.70396269,-72.28384852",2013-04-18 00:34:21,
4.0,"43.70413027,-72.28378295",2013-04-20 05:05:40,
4.0,"43.7028215,-72.28758618",2013-04-23 11:28:57,
5.0,"43.70425769,-72.28391582",2013-04-23 21:32:16,
