null,resp_time,level,location
1,2013-03-24 09:52:10,,
"43.70443648,-72.28843785",2013-03-24 10:49:58,,
2,2013-03-24 11:05:09,,
"43.70443648,-72.28843785",2013-03-24 11:05:05,,
"43.70443648,-72.28843785",2013-03-24 11:05:03,,
"43.70443648,-72.28843785",2013-03-24 11:05:07,,
3,2013-03-24 10:49:56,,
2,2013-03-24 10:49:59,,
"43.70443648,-72.28843785",2013-03-24 10:49:54,,
,2013-04-03 06:57:11,5.0,"43.62834565,-72.3223213"
,2013-04-04 00:14:30,4.0,"43.62834565,-72.3223213"
,2013-04-03 02:36:18,5.0,"43.62834565,-72.3223213"
,2013-04-02 12:10:05,5.0,"43.6937096,-72.27804377"
,2013-04-03 02:27:25,5.0,"43.62834565,-72.3223213"
,2013-04-04 06:35:44,1.0,"43.70714459,-72.28293882"
,2013-04-05 00:58:47,4.0,Unknown
,2013-04-05 06:29:02,4.0,"43.70790052,-72.28462552"
,2013-04-06 00:11:58,4.0,"43.70805293,-72.28472907"
,2013-04-08 02:07:51,2.0,"43.65863137,-72.24870136"
,2013-04-09 05:53:57,4.0,"43.70873044,-72.28238031"
,2013-04-13 23:14:39,4.0,"43.7086143,-72.28107378"
,2013-04-13 23:13:46,4.0,"43.7086143,-72.28107378"
,2013-04-14 22:11:55,1.0,"43.70793202,-72.28525821"
,2013-04-23 09:48:54,1.0,"43.65856749,-72.2490112"
,2013-04-26 19:05:02,4.0,"43.67569735,-72.27218981"
,2013-04-29 00:51:40,1.0,"43.65864789,-72.24891462"
,2013-04-29 04:26:40,1.0,"43.65866977,-72.24874465"
,2013-05-08 09:15:06,4.0,"43.65868887,-72.24861515"
,2013-05-08 04:30:12,3.0,"43.70519313,-72.28357692"
,2013-05-13 19:40:39,1.0,"43.66168145,-72.25398853"
,2013-05-13 19:40:26,1.0,"43.66168145,-72.25398853"
,2013-05-14 17:41:49,4.0,"43.66117959,-72.25346471"
,2013-05-14 17:42:43,4.0,"43.66117959,-72.25346471"
,2013-05-15 21:34:15,5.0,"43.70340125,-72.2878455"
,2013-05-08 19:54:20,1.0,"43.68142273,-72.27279919"
,2013-05-19 19:51:08,4.0,"43.65864479,-72.2486687"
,2013-05-21 05:00:39,4.0,"43.65853284,-72.24874089"
,2013-05-22 11:06:59,4.0,"43.70344054,-72.28367021"
