level,location,resp_time
4,"43.70682318,-72.28633461",2013-03-27 23:02:34
5,"43.70286724,-72.29005263",2013-03-27 20:04:08
4,"43.7069809,-72.28900187",2013-03-28 22:00:29
4,"43.70812165,-72.28465541",2013-03-29 23:00:30
5,"44.10787288,-72.61254468",2013-03-31 22:04:54
1,"43.70706817,-72.28796189",2013-04-04 01:04:06
1,"43.707167,-72.28881902",2013-04-02 21:23:50
1,"43.70700582,-72.28894023",2013-04-03 06:11:36
1,"43.70681781,-72.28867166",2013-04-03 00:21:23
1,"43.70632836,-72.29127649",2013-04-04 06:03:26
1,Unknown,2013-04-08 20:04:18
1,"43.70726304,-72.28837339",2013-04-05 00:16:11
1,Unknown,2013-04-08 02:10:13
1,"43.70313582,-72.29037332",2013-04-05 06:30:50
1,"43.07856719,-71.47247614",2013-04-06 00:57:32
1,"43.07856719,-71.47247614",2013-04-06 06:17:24
1,Unknown,2013-04-08 00:03:57
4,Unknown,2013-04-09 08:09:41
4,"43.70708633,-72.28866535",2013-04-10 23:03:46
1,"43.7072894,-72.28890368",2013-04-12 05:02:24
1,"43.70378266,-72.28961792",2013-04-09 22:13:04
1,"43.7071603,-72.28890645",2013-04-13 06:03:47
1,"43.70689354,-72.28946751",2013-04-11 22:03:03
1,"43.70725692,-72.28889955",2013-04-12 23:41:02
1,"43.70728941,-72.28894518",2013-04-13 22:02:12
2,"43.70723334,-72.28841643",2013-04-15 17:26:32
2,"43.70303099,-72.29075335",2013-04-14 22:54:16
2,"43.70374453,-72.28953055",2013-04-14 20:06:41
2,"43.70716833,-72.2890588",2013-04-15 20:11:57
2,"43.70293807,-72.28518634",2013-04-16 04:07:31
3,"43.7071633,-72.2887475",2013-04-17 14:25:30
1,"43.70724046,-72.28885725",2013-04-16 22:24:40
2,"43.70306909,-72.29122861",2013-04-17 04:00:18
1,"43.70725954,-72.28874916",2013-04-18 08:45:02
2,"43.73397286,-72.25585522",2013-04-20 05:00:19
2,"43.70689486,-72.28866441",2013-04-21 19:38:37
3,"43.70689703,-72.2889091",2013-04-23 08:21:23
3,"43.70712251,-72.28871029",2013-04-24 17:37:12
3,"43.70696843,-72.28909371",2013-04-25 18:28:56
3,"43.70888571,-72.2841184",2013-04-26 18:02:29
3,"43.70715788,-72.2881815",2013-04-29 00:01:43
3,"43.70629213,-72.28648992",2013-04-29 04:22:48
3,"43.70675787,-72.28759013",2013-04-29 20:09:19
2,"43.70297808,-72.28458083",2013-04-30 04:03:54
2,"43.70662559,-72.29217632",2013-05-01 05:25:02
3,"43.70719194,-72.2888951",2013-05-02 05:14:46
2,"43.70485698,-72.28945429",2013-05-03 05:00:18
3,"43.70534604,-72.28774277",2013-05-06 04:00:38
1,"43.70689592,-72.28903667",2013-05-16 19:14:11
1,"43.70726739,-72.28902375",2013-05-14 19:16:38
1,"43.70677365,-72.28916961",2013-05-07 09:33:46
1,"43.70535722,-72.28937167",2013-05-07 19:00:28
1,"43.70742437,-72.28955085",2013-05-15 19:14:10
1,"43.70689039,-72.28909394",2013-05-08 08:00:10
1,"43.70767843,-72.28476978",2013-05-08 18:03:29
4,"43.70291045,-72.29075571",2013-05-09 04:03:52
1,"43.70256621,-72.2845022",2013-05-07 04:23:00
2,"43.70277042,-72.29111758",2013-05-19 04:21:24
1,"43.70365271,-72.28927596",2013-05-17 19:24:57
1,"43.70695717,-72.28860686",2013-05-18 02:02:33
1,"43.70391493,-72.28899774",2013-05-19 19:48:14
1,"43.70629434,-72.28697791",2013-05-20 19:15:19
1,"43.70254235,-72.28877528",2013-05-21 04:13:28
1,"43.70681234,-72.28874733",2013-05-21 19:15:12
1,Unknown,2013-05-23 04:01:53
1,"43.70690721,-72.28896001",2013-05-23 19:28:41
5,"43.70642722,-72.29108366",2013-06-03 06:13:21
