location,null,place,productivity,resp_time,noise
"43.75872078,-72.32869187",1.0,sudi,3,2013-04-19 04:30:13,
"43.70806183,-72.28452186",1.0,"king Arthur cafe
",4,2013-04-19 23:00:55,
"43.71472383,-72.30880637",1.0,library,3,2013-04-21 04:51:56,
"43.75957917,-72.32886943",2.0,homr,2,2013-04-22 00:17:04,
"43.70381516,-72.28813609",1.0,nowhere,1,2013-04-24 04:06:22,
"43.70411717,-72.2890889",4.0,sukdicoff room 319,1,2013-04-23 04:01:10,
"43.70863122,-72.28437025",,office,3,2013-04-29 22:53:36,1.0
Unknown,,home,2,2013-04-28 23:36:59,3.0
Unknown,,pub,2,2013-05-03 23:43:41,3.0
"48.84434287,2.3817956",,nowhere,1,2013-05-05 19:54:43,3.0
"43.75935707,-72.32903883",,"home
",3,2013-05-10 04:02:45,4.0
"43.71874558,-72.31528314",,homw,3,2013-05-13 04:07:26,2.0
"43.75933273,-72.32894416",,,1,2013-05-14 04:14:07,1.0
