location,noise,place,productivity,resp_time
"43.70668768,-72.28688497",2,building,3,2013-04-29 22:00:49
"43.65191693,-72.31010354",2,building,3,2013-04-26 00:54:54
"43.70667592,-72.28706497",2,building,3,2013-04-29 04:31:16
"43.70656221,-72.28696558",2,building,3,2013-04-30 22:10:05
"43.70672903,-72.2860473",2,building,3,2013-05-01 22:31:04
"42.04036843,-72.61585278",1,room,3,2013-05-05 09:08:47
"43.70662501,-72.28688313",2,building,3,2013-05-10 04:32:20
"43.706565,-72.28707625",1,building,3,2013-05-14 04:09:47
"43.69722174,-72.28097189",1,building,3,2013-05-09 00:07:18
"43.70688981,-72.28721935",1,building,3,2013-05-13 04:17:24
